City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
33,Lebu,CL,-37.6167,-73.65,52.54,78,0,19.98,clear sky
34,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,88,0,8.05,clear sky
35,Cabo San Lucas,MX,22.8909,-109.9124,71.51,68,0,14.97,clear sky
36,Aguas Vermelhas,BR,-15.7472,-41.46,62.38,96,0,3.56,moderate rain
37,Sur,OM,22.5667,59.5289,81.54,34,4,10.38,clear sky
38,Nichinan,JP,31.6,131.3667,62.28,44,0,5.35,clear sky
39,Avarua,CK,-21.2078,-159.775,73.45,88,75,5.75,light rain
40,Sorochinsk,RU,52.4338,53.1583,47.23,84,100,8.08,overcast clouds
41,Grindavik,IS,63.8424,-22.4338,37.87,81,75,13.8,broken clouds
42,Markova,UA,48.6758,24.4138,20.03,88,27,5.26,scattered clouds
43,Albany,US,42.6001,-73.9662,37.22,90,100,3.0,light rain
44,Husavik,IS,66.0449,-17.3389,25.7,91,100,7.7,light snow
45,Yellowknife,CA,62.456,-114.3525,24.42,64,40,13.8,scattered clouds
46,Mataura,NZ,-46.1927,168.8643,66.94,45,10,1.66,clear sky
47,Gamboma,CG,-1.8764,15.8644,74.1,90,100,1.5,overcast clouds
48,Tangwani,PK,28.2787,68.9972,79.83,6,8,3.94,clear sky
49,Zbysov,CZ,49.1552,16.3495,29.71,70,0,6.91,clear sky
50,New Norfolk,AU,-42.7826,147.0587,67.71,59,63,1.5,broken clouds
51,Sola,VU,-13.8833,167.55,81.41,75,100,11.21,overcast clouds
52,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,70,71,14.2,broken clouds
53,Tasiilaq,GL,65.6145,-37.6368,21.36,94,100,8.25,overcast clouds
54,Dikson,RU,73.5069,80.5464,2.34,94,81,9.71,broken clouds
55,Bluff,NZ,-46.6,168.3333,58.26,73,69,8.48,broken clouds
56,Griffith,US,41.5284,-87.4237,47.3,79,100,1.01,overcast clouds
57,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,broken clouds
58,Blind River,CA,46.1834,-82.9582,37.51,96,14,4.32,few clouds
59,Port Blair,IN,11.6667,92.75,84.24,74,40,3.44,scattered clouds
60,Cape Town,ZA,-33.9258,18.4232,59.11,81,20,10.36,few clouds
61,Hilo,US,19.7297,-155.09,78.53,80,100,12.66,moderate rain
62,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,3.44,broken clouds
63,Bethel,US,41.3712,-73.414,41.76,90,99,1.99,overcast clouds
64,Qaanaaq,GL,77.484,-69.3632,10.65,67,86,7.81,overcast clouds
65,Bredasdorp,ZA,-34.5322,20.0403,58.48,92,22,3.4,few clouds
66,Bandarbeyla,SO,9.4942,50.8122,75.69,82,6,2.53,clear sky
67,Dali,CN,25.7,100.1833,55.62,79,96,4.27,overcast clouds
68,Fare,PF,-16.7,-151.0167,82.29,70,20,12.57,few clouds
69,Primero De Enero,CU,21.9469,-78.4283,77.34,77,83,2.77,broken clouds
70,Balabac,PH,7.9868,117.0645,82.06,76,78,9.46,broken clouds
71,Saskylakh,RU,71.9167,114.0833,-3.03,96,100,11.63,overcast clouds
72,Sao Filipe,CV,14.8961,-24.4956,70.54,74,4,6.96,clear sky
73,Hasaki,JP,35.7333,140.8333,54.0,84,100,17.43,moderate rain
74,Astana,KZ,51.1801,71.446,33.75,86,0,8.95,clear sky
75,Aksarka,RU,66.5606,67.7975,18.07,94,100,21.79,light snow
76,Buala,SB,-8.145,159.5921,82.35,79,99,11.25,moderate rain
77,Aripuana,BR,-9.1667,-60.6333,74.39,94,97,1.79,overcast clouds
78,Haines Junction,CA,60.7522,-137.5108,35.55,55,100,8.05,overcast clouds
79,Ahuimanu,US,21.4447,-157.8378,82.11,73,75,21.85,broken clouds
80,Lyubotyn,UA,49.95,35.9667,33.94,99,100,9.95,light snow
81,Auki,SB,-8.7676,160.7034,79.18,88,99,6.73,overcast clouds
82,Ayan,RU,56.45,138.1667,26.17,93,100,19.44,snow
83,Moree,AU,-29.4667,149.85,77.02,65,75,12.66,broken clouds
84,Gorontalo,ID,0.5412,123.0595,84.88,75,20,1.5,few clouds
85,Hermanus,ZA,-34.4187,19.2345,56.8,86,2,2.57,clear sky
86,Port Elizabeth,ZA,-33.918,25.5701,62.31,94,20,8.99,few clouds
87,Port Lincoln,AU,-34.7333,135.8667,68.49,59,10,6.31,clear sky
88,Amahai,ID,-3.3333,128.9167,84.15,67,31,5.12,scattered clouds
89,Kodiak,US,57.79,-152.4072,36.91,87,100,6.91,light rain
90,Otradnoye,RU,59.7775,30.8181,29.03,94,50,4.0,scattered clouds
91,Tommot,RU,58.9564,126.2925,20.89,89,100,12.12,light snow
92,Peterhead,GB,57.5058,-1.7981,52.2,88,100,28.32,light rain
93,Azare,NG,11.6765,10.1948,79.88,8,100,7.02,overcast clouds
94,Kaitangata,NZ,-46.2817,169.8464,63.57,56,3,4.83,clear sky
95,Ibotirama,BR,-12.1853,-43.2206,72.61,55,8,2.55,clear sky
96,Puerto Ayora,EC,-0.7393,-90.3518,76.55,95,100,8.01,overcast clouds
97,Ketchikan,US,55.3422,-131.6461,41.47,75,100,16.11,light rain
98,Havelock,US,34.8791,-76.9013,64.38,38,0,10.36,clear sky
99,Puerto Escondido,MX,15.85,-97.0667,79.09,67,1,6.46,clear sky
100,Salalah,OM,17.0151,54.0924,75.29,64,0,3.44,clear sky
101,Port Hedland,AU,-20.3167,118.5667,91.45,46,1,8.05,clear sky
102,Oyek,RU,52.5861,104.4556,26.98,76,100,7.2,overcast clouds
103,Narsaq,GL,60.9167,-46.05,34.34,84,36,6.26,scattered clouds
104,Souillac,MU,-20.5167,57.5167,79.18,83,40,11.5,scattered clouds
105,Victoria,HK,22.2855,114.1577,72.25,42,0,8.99,clear sky
106,Puerto Vallarta,MX,20.6204,-105.2307,67.55,91,19,0.4,few clouds
107,Marsabit,KE,2.3284,37.9899,68.05,58,99,15.08,overcast clouds
108,Dunedin,NZ,-45.8742,170.5036,61.84,67,6,7.29,clear sky
109,Torbay,CA,47.6666,-52.7314,36.27,88,20,27.63,few clouds
110,Makaha,US,21.4694,-158.2175,82.31,64,100,9.22,overcast clouds
111,Jijiga,ET,9.35,42.8,62.91,44,89,1.86,overcast clouds
112,Oktyabrskiy,RU,54.4815,53.471,36.57,99,100,5.39,light rain
113,Georgetown,MY,5.4112,100.3354,82.33,92,20,5.01,few clouds
114,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,11.5,broken clouds
115,Buta,CD,2.7858,24.73,70.52,97,100,1.48,overcast clouds
116,Uspenskoye,RU,44.8311,41.3927,45.23,69,38,20.31,scattered clouds
117,Sisimiut,GL,66.9395,-53.6735,26.87,78,10,6.8,clear sky
118,Ahipara,NZ,-35.1667,173.1667,71.65,70,32,2.86,scattered clouds
119,Majdanpek,RS,44.4277,21.946,30.4,88,99,7.81,overcast clouds
120,Sambava,MG,-14.2667,50.1667,75.49,86,100,5.26,overcast clouds
121,Shahdadkot,PK,27.8477,67.9055,80.38,7,14,3.71,few clouds
122,Lakes Entrance,AU,-37.8811,147.981,61.57,85,100,16.89,overcast clouds
123,Yulara,AU,-25.2406,130.9889,80.44,18,0,4.61,clear sky
124,Chapais,CA,49.7834,-74.8492,33.58,91,100,4.05,overcast clouds
125,Hohhot,CN,40.8106,111.6522,50.29,27,0,2.24,clear sky
126,Buraydah,SA,26.326,43.975,66.65,13,89,7.49,overcast clouds
127,Thinadhoo,MV,0.5333,72.9333,82.72,64,3,1.7,clear sky
128,Tahe,CN,52.3333,124.7333,28.72,38,100,11.97,overcast clouds
129,Butaritari,KI,3.0707,172.7902,81.54,73,98,11.54,overcast clouds
130,Daitari,IN,21.1,85.75,78.06,73,81,7.25,broken clouds
131,Bukene,TZ,-4.2333,32.8833,63.68,84,77,3.47,broken clouds
132,Barrow,US,71.2906,-156.7887,-5.78,77,40,14.97,haze
133,Upernavik,GL,72.7868,-56.1549,13.87,82,94,3.38,overcast clouds
134,Longyearbyen,SJ,78.2186,15.6401,-3.77,90,64,8.99,broken clouds
135,Castro,BR,-24.7911,-50.0119,61.47,98,56,5.39,broken clouds
136,Haftoni,AZ,38.7632,48.7622,55.11,71,40,4.61,scattered clouds
137,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,60,0,12.66,clear sky
138,Satana,IN,20.5833,74.2,82.83,27,8,5.61,clear sky
139,Thompson,CA,55.7435,-97.8558,37.56,52,100,4.61,overcast clouds
140,Salmon Arm,CA,50.6998,-119.3024,56.52,35,100,11.5,overcast clouds
141,Hay River,CA,60.8156,-115.7999,39.18,48,75,12.66,broken clouds
142,Bermeo,ES,43.4209,-2.7215,39.81,72,100,10.27,overcast clouds
143,Wum,CM,6.3833,10.0667,69.15,69,69,3.13,broken clouds
144,Muli,MV,2.9167,73.5667,82.98,62,6,1.3,clear sky
145,Mahebourg,MU,-20.4081,57.7,79.25,83,40,11.5,scattered clouds
146,Barguzin,RU,53.6167,109.6167,22.42,66,62,2.44,broken clouds
147,Taltal,CL,-25.4,-70.4833,65.16,69,0,5.91,clear sky
148,Vanino,RU,49.0869,140.2543,55.49,52,53,10.18,broken clouds
149,Lerwick,GB,60.1545,-1.1494,46.4,94,100,19.28,overcast clouds
150,Tizimin,MX,21.15,-88.15,79.61,70,100,3.87,overcast clouds
151,Saint-Georges,GD,12.0564,-61.7485,78.48,73,20,23.02,few clouds
152,Wana,PK,32.2989,69.5725,63.55,15,2,4.09,clear sky
153,Umkomaas,ZA,-30.2067,30.7978,72.68,87,100,5.99,overcast clouds
154,Los Alamos,US,35.8881,-106.307,59.65,25,0,5.75,clear sky
155,Nakusp,CA,50.2499,-117.8023,48.54,61,100,5.75,overcast clouds
156,Batagay-Alyta,RU,67.8006,130.4114,3.72,86,98,2.48,overcast clouds
157,Tamala,RU,52.541,43.2515,32.61,99,100,6.93,snow
158,Kalmunai,LK,7.4167,81.8167,79.56,80,87,2.59,overcast clouds
159,Coihaique,CL,-45.5752,-72.0662,51.75,58,75,9.22,light rain
160,Atikokan,CA,48.7555,-91.6216,29.3,98,100,3.98,overcast clouds
161,Srandakan,ID,-7.9386,110.2506,82.87,74,26,3.51,scattered clouds
162,Talnakh,RU,69.4865,88.3972,2.16,95,86,8.01,overcast clouds
163,Hashtrud,IR,37.4779,47.0508,50.45,47,97,2.39,overcast clouds
164,Saldanha,ZA,-33.0117,17.9442,59.05,93,0,10.49,clear sky
165,Jalu,LY,29.0331,21.5482,71.87,16,5,12.24,clear sky
166,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,40,11.5,light rain
167,Bud,US,39.447,-86.1758,49.95,58,53,2.62,broken clouds
168,Hailar,CN,49.2,119.7,37.87,35,82,5.82,broken clouds
169,Kavieng,PG,-2.5744,150.7967,84.4,67,100,5.86,overcast clouds
170,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.26,93,0,6.58,clear sky
171,Ilhabela,BR,-23.7781,-45.3581,74.26,91,22,5.66,few clouds
172,Mana,GF,5.6592,-53.7767,77.14,89,100,9.95,overcast clouds
173,Guaira,BR,-20.3183,-48.3106,70.9,85,19,5.79,few clouds
174,Key West,US,24.5557,-81.7826,82.4,72,0,8.05,clear sky
175,Coruripe,BR,-10.1256,-36.1756,77.83,77,40,8.12,scattered clouds
176,Chernyshevskiy,RU,63.0128,112.4714,15.33,88,98,4.81,overcast clouds
177,Vanavara,RU,60.34,102.2797,17.47,82,14,8.01,few clouds
178,Jieshi,CN,22.8134,115.8257,65.95,49,0,17.31,clear sky
179,Matara,LK,5.9485,80.5353,79.38,82,69,3.11,broken clouds
180,Phangnga,TH,8.4509,98.5298,82.44,79,84,2.86,broken clouds
181,Marawi,PH,7.9986,124.2928,78.85,70,84,4.63,broken clouds
182,Nantucket,US,41.2835,-70.0995,42.91,82,100,10.36,overcast clouds
183,Ixtapa,MX,20.7,-105.2,66.65,89,12,1.25,few clouds
184,Ribeira Grande,PT,38.5167,-28.7,59.9,76,100,15.77,overcast clouds
185,Ancud,CL,-41.8697,-73.8203,51.22,90,100,4.85,light rain
186,Dobeln,DE,51.1167,13.1167,36.27,83,62,13.15,broken clouds
187,Windsor,CA,42.3001,-83.0165,43.12,81,100,4.61,overcast clouds
188,Bima,ID,-8.4667,118.7167,85.93,64,58,1.7,broken clouds
189,Chicama,PE,-7.8447,-79.1469,64.94,78,70,6.78,broken clouds
190,Byron Bay,AU,-28.65,153.6167,75.7,66,52,5.41,broken clouds
191,Guerrero Negro,MX,27.9769,-114.0611,60.42,69,0,12.93,clear sky
192,Khandyga,RU,62.6667,135.6,24.12,80,100,4.5,overcast clouds
193,Gat,IL,31.61,34.7642,68.4,48,0,6.71,clear sky
194,Vitoria,BR,-20.3194,-40.3378,78.66,83,75,3.44,broken clouds
195,Mathbaria,BD,22.2876,89.9593,84.72,64,6,17.47,clear sky
196,Klaksvik,FO,62.2266,-6.589,40.12,99,100,23.17,overcast clouds
197,Mar Del Plata,AR,-38.0023,-57.5575,55.42,62,0,14.97,clear sky
198,Kaeo,NZ,-35.1,173.7833,75.33,73,58,6.15,broken clouds
199,Rangapara,IN,26.8167,92.65,72.82,87,94,5.21,overcast clouds
200,Porkhov,RU,57.765,29.5561,26.37,95,55,6.08,broken clouds
201,Walvis Bay,NA,-22.9575,14.5053,59.09,88,0,3.44,clear sky
202,Doka,SD,13.5167,35.7667,86.2,20,73,7.43,broken clouds
203,Moerai,PF,-22.4333,-151.3333,81.9,78,100,14.61,overcast clouds
204,Cabra,ES,37.4725,-4.4421,49.66,44,100,4.0,overcast clouds
205,Samarai,PG,-10.6167,150.6667,82.76,74,93,11.36,overcast clouds
206,Ballina,AU,-28.8667,153.5667,75.78,85,52,3.44,broken clouds
207,Mayahi,NE,13.9553,7.6712,76.33,5,39,4.92,scattered clouds
208,Lagoa,PT,39.05,-27.9833,58.78,74,96,14.34,overcast clouds
209,Shemonaikha,KZ,50.6328,81.9056,33.06,85,100,5.03,overcast clouds
210,Kourou,GF,5.1552,-52.6478,79.11,92,100,8.48,light rain
211,Fortuna,US,40.5982,-124.1573,54.93,68,0,8.05,clear sky
212,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,19.57,scattered clouds
213,Cherskiy,RU,68.75,161.3,1.96,85,100,3.15,overcast clouds
214,Fort Morgan,US,40.2503,-103.8,45.25,33,0,6.91,clear sky
215,Emirdag,TR,39.0197,31.15,43.27,57,17,5.82,few clouds
216,Kudat,MY,6.8837,116.8477,82.33,89,20,2.3,few clouds
217,Leningradskiy,RU,69.3833,178.4167,-6.16,90,100,4.23,overcast clouds
218,Grand-Santi,GF,4.25,-54.3833,73.45,99,100,1.74,overcast clouds
219,Severo-Kurilsk,RU,50.6789,156.125,34.16,90,27,10.33,scattered clouds
220,Arraial Do Cabo,BR,-22.9661,-42.0278,76.33,87,3,2.91,clear sky
221,Lasa,IT,46.6166,10.7002,33.37,95,97,1.88,overcast clouds
222,Nueva Concepcion,GT,14.2,-91.3,82.67,65,97,7.52,overcast clouds
223,Ndele,CF,8.4109,20.6473,78.84,60,71,10.11,broken clouds
224,Shebunino,RU,46.4339,141.8603,42.67,86,64,23.94,broken clouds
225,Tautira,PF,-17.7333,-149.15,82.63,74,21,13.15,few clouds
226,Asahikawa,JP,43.7678,142.3703,49.21,40,0,9.22,clear sky
227,San Pedro,PH,14.35,121.0167,85.32,61,75,4.61,broken clouds
228,Carnarvon,AU,-24.8667,113.6333,78.87,78,40,11.5,scattered clouds
229,Tuatapere,NZ,-46.1333,167.6833,63.81,53,53,5.1,broken clouds
230,Buritizeiro,BR,-17.3511,-44.9622,69.55,60,0,2.06,clear sky
231,Banda Aceh,ID,5.5577,95.3222,81.14,72,95,2.21,overcast clouds
232,Codrington,AU,-38.2667,141.9667,63.37,64,83,11.45,broken clouds
233,Catamarca,AR,-28.4696,-65.7852,61.59,54,0,4.18,clear sky
234,Kawalu,ID,-7.3817,108.2082,81.43,72,90,1.36,overcast clouds
235,Yei,SS,4.095,30.6779,68.4,78,82,3.83,broken clouds
236,Riyadh,SA,24.6877,46.7219,77.14,13,63,4.14,broken clouds
237,Fenoarivo Atsinanana,MG,-17.3667,49.4167,72.27,90,9,4.18,clear sky
238,Punta De Bombon,PE,-17.1717,-71.7931,68.34,81,19,6.15,few clouds
239,Tokmak,UA,47.2514,35.7058,39.85,83,100,12.1,overcast clouds
240,Andra,RU,62.5147,65.8878,32.59,100,100,10.78,snow
241,Bengkulu,ID,-3.8004,102.2655,81.54,63,28,3.74,scattered clouds
242,Hokitika,NZ,-42.7167,170.9667,64.31,61,2,4.16,clear sky
243,Geraldton,AU,-28.7667,114.6,75.61,69,100,20.71,overcast clouds
244,Ajaccio,FR,42.0,8.9167,41.05,87,0,6.91,clear sky
245,Kununurra,AU,-15.7667,128.7333,89.58,43,6,4.61,clear sky
246,Tauranga,NZ,-37.6861,176.1667,75.33,74,3,1.99,clear sky
247,Ostrovnoy,RU,68.0531,39.5131,13.3,92,93,6.64,overcast clouds
248,Olafsvik,IS,64.8945,-23.7142,32.9,77,96,20.04,overcast clouds
249,Sandi,IN,27.3,79.95,84.07,6,0,2.89,clear sky
250,Shimoda,JP,34.6667,138.95,52.16,92,100,14.2,light rain
251,Pacific Grove,US,36.6177,-121.9166,63.45,74,75,10.36,broken clouds
252,Utrecht,NL,52.0,5.25,43.02,86,95,7.0,overcast clouds
253,Klang,MY,3.0333,101.45,82.53,83,20,2.3,few clouds
254,Vilela,PT,41.2251,-7.6034,32.31,61,0,10.58,clear sky
255,Santa Rosa,PH,14.3122,121.1114,87.03,62,54,15.95,broken clouds
256,Uray,RU,60.1247,64.7758,35.55,100,100,10.27,overcast clouds
257,Hambantota,LK,6.1241,81.1185,75.54,100,20,0.0,few clouds
258,Kalabo,ZM,-14.97,22.6814,65.16,94,86,2.39,moderate rain
259,Pasighat,IN,28.0667,95.3333,68.07,98,100,2.98,overcast clouds
260,Shubarkuduk,KZ,49.1447,56.4872,43.07,71,100,5.3,overcast clouds
261,Kaka,TM,37.3482,59.6143,69.57,19,0,4.94,clear sky
262,Kibala,TD,9.1104,18.3463,82.54,51,94,8.16,overcast clouds
263,Nemuro,JP,43.3236,145.575,40.06,79,7,17.09,clear sky
264,Maniitsoq,GL,65.4167,-52.9,27.52,83,9,4.92,clear sky
265,Inhambane,MZ,-23.865,35.3833,75.22,74,0,8.52,clear sky
266,Alta Floresta,BR,-9.8756,-56.0861,71.69,96,100,1.19,overcast clouds
267,Pietarsaari,FI,63.65,22.6833,25.0,84,100,6.17,light snow
268,Rosetta,EG,31.4044,30.4164,61.05,76,9,10.94,clear sky
269,Colon,PA,9.3592,-79.9014,81.36,77,100,7.36,overcast clouds
270,Poum,NC,-20.2333,164.0167,82.06,83,100,21.16,light rain
271,Xiuyan,CN,40.2928,123.2744,55.09,51,2,11.68,clear sky
272,Soyo,AO,-6.1349,12.3689,77.72,90,92,3.56,overcast clouds
273,Margate,GB,51.3813,1.3862,40.3,69,98,5.01,overcast clouds
274,Strezhevoy,RU,60.7333,77.5889,27.01,95,100,18.7,snow
275,Lorengau,PG,-2.0226,147.2712,84.67,69,83,5.5,broken clouds
276,Pervoye Maya,RU,56.164,44.7196,25.45,97,100,3.0,overcast clouds
277,Minab,IR,27.1467,57.0801,64.72,82,11,0.0,few clouds
278,Tadine,NC,-21.55,167.8833,83.59,74,100,11.41,overcast clouds
279,East London,ZA,-33.0153,27.9116,67.82,80,65,8.14,broken clouds
280,Lata,PT,40.1629,-8.3327,43.92,56,0,10.11,clear sky
281,San Vicente,AR,-26.6167,-54.1333,68.74,84,93,2.24,overcast clouds
282,Kavaratti,IN,10.5669,72.642,82.51,70,27,5.91,scattered clouds
283,Sidi Ali,DZ,36.0998,0.4206,49.86,82,100,17.02,overcast clouds
284,Meulaboh,ID,4.1363,96.1285,78.06,79,97,3.09,overcast clouds
285,Pevek,RU,69.7008,170.3133,-4.02,85,5,2.59,clear sky
286,Deputatskiy,RU,69.3,139.9,-1.84,88,23,3.02,few clouds
287,Verkhnevilyuysk,RU,63.4453,120.3167,18.05,85,94,5.46,overcast clouds
288,Kitimat,CA,54.0524,-128.6534,44.98,58,91,2.93,overcast clouds
289,Clyde River,CA,70.4692,-68.5914,10.63,92,100,9.22,overcast clouds
290,Honningsvag,NO,70.9821,25.9704,26.35,74,75,6.91,broken clouds
291,Jutai,BR,-5.1833,-68.9,74.7,88,100,1.59,overcast clouds
292,Moyale,KE,3.5167,39.0584,69.42,47,97,8.55,overcast clouds
293,Iquique,CL,-20.2208,-70.1431,62.64,78,22,3.47,few clouds
294,Kheralu,IN,23.8833,72.6167,78.49,33,0,7.14,clear sky
295,Deloraine,AU,-41.5333,146.6667,72.14,62,6,4.0,clear sky
296,Chokurdakh,RU,70.6333,147.9167,-1.66,90,97,4.41,overcast clouds
297,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,53,40,12.66,scattered clouds
298,Kruisfontein,ZA,-34.0033,24.7314,56.88,86,27,4.05,scattered clouds
299,Vao,NC,-22.6667,167.4833,79.32,85,60,14.56,broken clouds
300,Nome,US,64.5011,-165.4064,16.16,63,5,4.7,clear sky
301,Solnechnyy,RU,50.7214,136.6319,45.16,72,100,9.95,overcast clouds
302,Hundorp,NO,61.5552,9.9407,26.44,96,100,0.78,light snow
303,Preobrazheniye,RU,42.9019,133.9064,46.49,70,0,11.74,clear sky
304,College,US,64.8569,-147.8028,26.08,59,100,5.01,overcast clouds
305,Lokosovo,RU,61.1333,74.8167,30.97,94,100,15.82,overcast clouds
306,Broome,US,42.2506,-75.833,36.63,79,100,9.22,light snow
307,Nanortalik,GL,60.1432,-45.2371,35.56,81,100,4.97,overcast clouds
308,Horka Nad Moravou,CZ,49.6401,17.2107,29.21,50,73,2.82,broken clouds
309,Stockton-On-Tees,GB,54.5685,-1.3187,49.95,80,100,4.0,overcast clouds
310,Faanui,PF,-16.4833,-151.75,82.22,69,9,11.56,clear sky
311,Provideniya,RU,64.3833,-173.3,10.51,67,0,15.99,clear sky
312,Mount Isa,AU,-20.7333,139.5,87.57,14,8,10.36,clear sky
313,Port Lavaca,US,28.615,-96.6261,69.85,87,0,13.8,clear sky
314,Giyani,ZA,-23.3025,30.7187,71.98,63,59,2.64,broken clouds
315,San Cristobal,VE,7.7669,-72.225,68.18,82,71,2.68,broken clouds
316,Garowe,SO,8.4054,48.4845,69.42,84,3,4.52,clear sky
317,Kirakira,SB,-10.4544,161.9205,82.09,83,100,13.65,overcast clouds
318,Saint George,US,37.1041,-113.5841,72.63,26,96,4.0,overcast clouds
319,Tarakan,ID,3.3,117.6333,81.9,83,40,5.75,moderate rain
320,Mattru,SL,7.6244,-11.8332,74.93,86,39,2.57,scattered clouds
321,Emerald,AU,-23.5333,148.1667,77.14,73,100,9.22,overcast clouds
322,Uspenka,UA,48.3903,39.1619,39.11,74,76,14.92,broken clouds
323,Ormara,PK,25.2088,64.6357,77.09,64,14,5.03,few clouds
324,Ippy,CF,6.2679,21.2247,71.6,85,98,4.61,overcast clouds
325,Taiping,MY,4.85,100.7333,78.22,88,95,2.19,overcast clouds
326,Malakwal,PK,32.5536,73.2123,77.13,15,2,5.46,clear sky
327,Derazhnya,UA,49.2692,27.4338,27.32,86,77,11.18,broken clouds
328,Nsanje,MW,-16.92,35.262,73.0,91,37,2.28,scattered clouds
329,Kuminskiy,RU,58.6667,66.5667,35.42,96,100,9.24,overcast clouds
330,Mondovi,IT,44.396,7.8176,43.32,95,91,2.95,overcast clouds
331,Altay,CN,47.8667,88.1167,40.14,57,0,5.48,clear sky
332,Batsfjord,NO,70.6345,29.7185,17.38,92,93,5.75,overcast clouds
333,Balikpapan,ID,-1.2675,116.8289,83.39,89,0,3.44,clear sky
334,Airai,TL,-8.9266,125.4092,73.18,51,9,2.48,clear sky
335,Kyabe,TD,9.4515,18.9449,84.4,48,92,2.08,overcast clouds
336,Timra,SE,62.487,17.3257,26.28,93,100,2.3,overcast clouds
337,Qasigiannguit,GL,68.8193,-51.1922,16.65,91,38,6.04,scattered clouds
338,Amambai,BR,-23.1042,-55.2258,75.0,73,86,4.92,overcast clouds
339,Kang,BW,-23.6752,22.7876,66.11,81,100,6.91,light rain
340,Cacoal,BR,-11.4386,-61.4472,73.27,94,0,1.23,clear sky
341,Bandar-E Lengeh,IR,26.5579,54.8807,75.67,63,0,1.12,clear sky
342,Ruwi,OM,23.5996,58.5507,78.96,44,0,4.68,clear sky
343,Duncan,US,34.5023,-97.9578,75.09,41,0,16.11,clear sky
344,Batemans Bay,AU,-35.7167,150.1833,76.91,48,91,3.87,overcast clouds
345,Aklavik,CA,68.2191,-135.0107,-5.89,89,100,10.0,overcast clouds
346,Port-Gentil,GA,-0.7193,8.7815,80.44,79,90,4.27,overcast clouds
347,Khatanga,RU,71.9667,102.5,-16.44,99,93,2.66,overcast clouds
348,Terrak,NO,65.087,12.3715,28.27,96,100,0.98,snow
349,Salinopolis,BR,-0.6136,-47.3561,78.08,88,100,8.23,moderate rain
